Store Name,Suburb,Address,Postcode,State,SiteDataID,latitude,longitude,Key Facilities
Gisborne Woolworths,Gisborne,109-115 Carnarvon St,4010,GIS,2768257,-38.6619,178.0182,"Fresh Bakery, Liquor, Seafood"
Botany Downs Woolworths,Botany Downs,Cnr Te Irirangi & Ti Rakau Drives,2010,AUK,1225547,-36.9299,174.9112,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Mount Wellington Woolworths,Mt Wellington,Cnr Penrose Rd & Mt Wellington Hway,1060,AUK,1239981,-36.9094,174.8372,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Te Atatu South Woolworths,Te Atatu South,Cnr Edmonton & Te Atatu Roads,610,AUK,1232007,-36.8657,174.6463,"ATM, Fresh flowers, Rug Doctor"
St Lukes Woolworths,"Mt Albert, Auckland","Saint Lukes Shopping Centre, Cnr St Lukes Rd & Morningside Dr",1025,AUK,1225566,-36.8838,174.7342,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Pakuranga Woolworths,Pakuranga,Pakuranga Town Centre,2010,AUK,1488544,-36.913,174.8686,"Fresh flowers, Rug Doctor"
Lincoln Road Woolworths,Henderson,185-187 Universal Drive,610,AUK,620844,-36.8569,174.6314,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Greenlane Woolworths,"Greenlane, Auckland",326 Great South Road,1051,AUK,577581,-36.8893,174.7937,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Pt Chevalier Woolworths,"Point Chevalier, Auckland",13 Pt Chevalier Road,1022,AUK,882224,-36.8698,174.7102,"ATM, Fresh flowers, Rug Doctor, Scan and go, Soft plastic recycling"
Mount Eden Woolworths,"Mt Eden, Auckland",Cnr Valley & Dominion Roads,1024,AUK,1906076,-36.8773,174.7516,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Meadowlands Woolworths,Howick,Cnr Meadowlands Drive & Whitford Road,2014,AUK,1906069,-36.9135,174.929,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Newmarket Woolworths,Newmarket,"Level 3, Westfield Newmarket, 277 Broadway, Newmarket",1023,AUK,1768531,-36.8719,174.7763,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Highland Park Woolworths,Highland Park,507 Pakuranga Road,2010,AUK,1224920,-36.8995,174.9082,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Te Atatu Woolworths,Te Atatu Peninsula,583 Te Atatu Road,610,AUK,1230141,-36.8426,174.6525,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Meadowbank Woolworths,Meadowbank,35-47 St Johns Road,1072,AUK,1237264,-36.8759,174.8276,"Fresh flowers, Rug Doctor"
